date,Table_lamp_business_electricity_sales(kWh)
2021/2/11,195348766
2021/2/12,195348766
2021/2/13,195348766
2021/2/14,195348766
2021/2/15,195348766
2021/2/16,195348766
2021/2/17,195348766
2021/2/18,195348766
2021/2/19,195348766
2021/2/20,195348766
2021/2/21,195348766
2021/2/22,195348766
2021/2/23,195348766
2021/2/24,195348766
2021/2/25,195348766
2021/2/26,195348766
2021/2/27,195348766
2021/2/28,195348766
2021/3/1,212895120
2021/3/2,212895120
2021/3/3,212895120
2021/3/4,212895120
2021/3/5,212895120
2021/3/6,212895120
2021/3/7,212895120
2021/3/8,212895120
2021/3/9,212895120
2021/3/10,212895120
2021/3/11,212895120
2021/3/12,212895120
2021/3/13,212895120
2021/3/14,212895120
2021/3/15,212895120
2021/3/16,212895120
2021/3/17,212895120
2021/3/18,212895120
2021/3/19,212895120
2021/3/20,212895120
2021/3/21,212895120
2021/3/22,212895120
2021/3/23,212895120
2021/3/24,212895120
2021/3/25,212895120
2021/3/26,212895120
2021/3/27,212895120
2021/3/28,212895120
2021/3/29,212895120
2021/3/30,212895120
2021/3/31,212895120
2021/4/1,195942578
2021/4/2,195942578
2021/4/3,195942578
2021/4/4,195942578
2021/4/5,195942578
2021/4/6,195942578
2021/4/7,195942578
2021/4/8,195942578
2021/4/9,195942578
2021/4/10,195942578
2021/4/11,195942578
2021/4/12,195942578
2021/4/13,195942578
2021/4/14,195942578
2021/4/15,195942578
2021/4/16,195942578
2021/4/17,195942578
2021/4/18,195942578
2021/4/19,195942578
2021/4/20,195942578
2021/4/21,195942578
2021/4/22,195942578
2021/4/23,195942578
2021/4/24,195942578
2021/4/25,195942578
2021/4/26,195942578
2021/4/27,195942578
2021/4/28,195942578
2021/4/29,195942578
2021/4/30,195942578
2021/5/1,228737007
2021/5/2,228737007
2021/5/3,228737007
2021/5/4,228737007
2021/5/5,228737007
2021/5/6,228737007
2021/5/7,228737007
2021/5/8,228737007
2021/5/9,228737007
2021/5/10,228737007
2021/5/11,228737007
2021/5/12,228737007
2021/5/13,228737007
2021/5/14,228737007
2021/5/15,228737007
2021/5/16,228737007
2021/5/17,228737007
2021/5/18,228737007
2021/5/19,228737007
2021/5/20,228737007
2021/5/21,228737007
2021/5/22,228737007
2021/5/23,228737007
2021/5/24,228737007
2021/5/25,228737007
2021/5/26,228737007
2021/5/27,228737007
2021/5/28,228737007
2021/5/29,228737007
2021/5/30,228737007
2021/5/31,228737007
2021/6/1,220924826
2021/6/2,220924826
2021/6/3,220924826
2021/6/4,220924826
2021/6/5,220924826
2021/6/6,220924826
